CourseID,StudentID,Grades,Geography
T100007,1,5.25,True
T100005,1,5.0,True
T107005,1,4.5,True
T100000,1,5.0,True
T100001,1,4.5,True
T100004,1,5.25,True
T100006,1,4.75,True
T107009,1,5.25,True
T100003,1,5.25,True
T106001,1,5.75,True
T108002,1,4.75,True
T108000,1,5.75,True
T106006,1,4.75,True
T200002,1,5.25,True
T200000,1,4.5,True
T200001,1,5.75,True
T207041,1,5.25,True
T207033,1,5.5,True
T207040,1,4.0,True
T200003,1,4.75,True
T207000,1,5.25,True
T207037,1,5.0,True
T207038,1,5.5,True
T207035,1,4.5,True
T207002,1,5.25,True
T206060,1,5.0,True
T207036,1,4.75,True
T207004,1,4.75,True
J2D035,1,5.75,True
T207002,1,4.5,True
T205027,1,5.75,True
S102013,1,5.25,True
T205020,1,4.25,True
T100007,2,5.25,True
T100005,2,5.0,True
T107005,2,5.0,True
T100000,2,5.0,True
T100001,2,4.5,True
T100004,2,5.0,True
T100006,2,4.5,True
T107009,2,5.0,True
T100003,2,4.5,True
T106001,2,5.25,True
T108000,2,5.25,True
T108002,2,5.75,True
T106006,2,5.0,True
T200002,2,4.5,True
T200000,2,4.5,True
T200001,2,6.0,True
T207041,2,5.0,True
T207033,2,4.5,True
T207040,2,4.5,True
T200003,2,5.0,True
T207000,2,5.5,True
T207035,2,5.0,True
T207012,2,4.5,True
T207038,2,5.75,True
T207002,2,5.75,True
T206060,2,4.5,True
T207004,2,5.0,True
T207034,2,5.25,True
J2P015,2,4.25,True
T207002,2,5.25,True
5869,2,5.0,True
5870,2,5.75,True
T206056,2,5.75,True
T206006,2,4.75,True
T208012,2,4.0,True
T100007,3,5.25,True
T100005,3,5.5,True
T107005,3,5.5,True
T100000,3,5.5,True
T100001,3,4.0,True
T100004,3,5.0,True
T100006,3,4.5,True
T107009,3,5.0,True
T100003,3,5.0,True
T106001,3,4.25,True
T108000,3,4.25,True
T105001,3,5.0,True
T106006,3,5.0,True
T200002,3,5.5,True
T200000,3,4.5,True
T200001,3,5.25,True
T207041,3,5.0,True
T207033,3,5.25,True
T207040,3,5.5,True
T200003,3,5.0,True
T207000,3,5.5,True
T207012,3,5.75,True
T207035,3,4.75,True
T207038,3,5.75,True
T207002,3,4.25,True
T206060,3,5.25,True
T207034,3,5.5,True
T207036,3,5.0,True
T207059,3,4.25,True
J2D035,3,4.25,True
12E050SCIENCES,3,4.5,True
12E051SCIENCES,3,5.5,True
T206056,3,4.5,True
S102013,3,4.75,True
T206006,3,5.0,True
T100007,4,5.5,True
T100005,4,4.25,True
T107005,4,5.25,True
T100000,4,5.25,True
T100001,4,5.5,True
T100004,4,5.25,True
T100006,4,4.75,True
T107009,4,5.25,True
T100003,4,5.25,True
T108000,4,4.25,True
T105001,4,5.0,True
T106001,4,4.75,True
T106006,4,5.0,True
T200002,4,4.75,True
T200000,4,4.5,True
T200001,4,5.5,True
T207041,4,5.0,True
T207033,4,4.5,True
T207040,4,5.25,True
T200003,4,5.5,True
T207000,4,5.5,True
T207012,4,4.75,True
T207035,4,5.0,True
T207038,4,5.75,True
T207002,4,4.5,True
T206060,4,5.25,True
T207004,4,5.0,True
T207034,4,5.25,True
J2D035,4,5.5,True
T207036,4,5.0,True
5869,4,5.25,True
5870,4,5.25,True
T208011,4,4.25,True
T208003,4,4.5,True
T205004,4,5.5,True
T100007,5,4.75,False
T100005,5,5.0,False
T107005,5,4.5,False
T100000,5,4.25,False
T100001,5,4.25,False
T100004,5,5.0,False
T100006,5,4.5,False
T107009,5,5.0,False
T100003,5,4.75,False
T108000,5,4.25,False
T105001,5,5.5,False
T108002,5,4.75,False
T108003,5,4.75,False
T200002,5,5.25,False
T200000,5,5.5,False
T200001,5,5.25,False
T207041,5,5.25,False
T207033,5,4.75,False
T207040,5,5.0,False
T200003,5,5.0,False
T207000,5,4.25,False
T207038,5,4.5,False
T207037,5,5.75,False
T207035,5,5.0,False
T207002,5,5.0,False
T207036,5,4.5,False
T207004,5,4.5,False
J2P201,5,4.5,False
J2P015,5,5.0,False
5869,5,5.0,False
5870,5,5.0,False
T205027,5,5.25,False
T206024,5,4.75,False
T206001,5,4.5,False
T100007,6,4.5,False
T100005,6,5.0,False
T107005,6,4.75,False
T100000,6,5.75,False
T100001,6,4.5,False
T100004,6,4.75,False
T100006,6,5.75,False
T107009,6,4.75,False
T100003,6,4.25,False
T108002,6,5.0,False
T105001,6,6.0,False
T108000,6,4.75,False
T108003,6,4.5,False
T200002,6,5.25,False
T200000,6,5.0,False
T200001,6,5.0,False
T207041,6,4.5,False
T207033,6,4.25,False
T207040,6,5.0,False
T200003,6,5.0,False
T207000,6,4.75,False
T207038,6,5.25,False
T207012,6,4.75,False
T207035,6,5.75,False
T207002,6,5.75,False
T207034,6,4.75,False
T207036,6,4.75,False
T207059,6,5.0,False
J2P201,6,5.0,False
12E050SCIENCES,6,5.75,False
12E051SCIENCES,6,6.0,False
T208000,6,4.75,False
T205004,6,5.25,False
T205020,6,5.0,False
T100007,7,4.5,True
T100005,7,4.75,True
T107005,7,4.75,True
T100000,7,4.25,True
T100001,7,4.5,True
T100004,7,5.5,True
T100006,7,5.25,True
T107009,7,4.75,True
T100003,7,4.25,True
T106001,7,4.75,True
T108000,7,4.75,True
T108002,7,5.25,True
T106006,7,5.5,True
T200002,7,5.0,True
T200000,7,5.0,True
T200001,7,5.5,True
T207041,7,5.0,True
T207033,7,5.5,True
T207040,7,5.0,True
T200003,7,5.25,True
T207000,7,6.0,True
T207037,7,5.0,True
T207038,7,5.25,True
T207012,7,4.5,True
T207002,7,5.5,True
T206060,7,4.75,True
T207004,7,4.75,True
T207036,7,5.5,True
T207034,7,5.75,True
T207002,7,5.75,True
12E050SCIENCES,7,5.25,True
12E051SCIENCES,7,5.0,True
T206056,7,4.25,True
T206057,7,5.0,True
S102013,7,4.5,True
T100007,8,5.25,True
T100005,8,4.75,True
T107005,8,5.0,True
T100000,8,4.5,True
T100001,8,5.5,True
T100004,8,5.0,True
T100006,8,4.75,True
T107009,8,4.75,True
T100003,8,5.0,True
T105001,8,4.75,True
T106001,8,5.25,True
T108000,8,5.0,True
T106006,8,5.5,True
T200002,8,5.0,True
T200000,8,5.5,True
T200001,8,4.75,True
T207041,8,4.75,True
T207033,8,4.5,True
T207040,8,4.75,True
T200003,8,5.25,True
T207000,8,5.5,True
T207038,8,4.25,True
T207037,8,4.75,True
T207012,8,4.75,True
T207002,8,4.25,True
T206060,8,5.25,True
T207036,8,5.25,True
T207034,8,4.75,True
T207059,8,5.0,True
J2D035,8,4.5,True
12E050SCIENCES,8,5.75,True
12E051SCIENCES,8,5.0,True
T206057,8,5.0,True
T208000,8,4.5,True
T205027,8,5.0,True
T100007,9,5.0,True
T100005,9,5.0,True
T107005,9,5.0,True
T100000,9,4.75,True
T100001,9,5.25,True
T100004,9,4.75,True
T100006,9,4.5,True
T107009,9,5.0,True
T100003,9,5.5,True
T106001,9,5.0,True
T108000,9,5.25,True
T105001,9,4.5,True
T106006,9,4.5,True
T200002,9,5.5,True
T200000,9,5.0,True
T200001,9,6.0,True
T207041,9,4.75,True
T207033,9,4.75,True
T207040,9,4.75,True
T200003,9,5.5,True
T207000,9,4.75,True
T207012,9,5.5,True
T207037,9,5.0,True
T207035,9,5.0,True
T206060,9,5.25,True
T207036,9,5.25,True
T207034,9,4.75,True
T207004,9,5.25,True
J2P201,9,5.25,True
T206054,9,5.5,True
T205020,9,6.0,True
T206057,9,5.25,True
T208000,9,4.0,True
T208011,9,5.0,True
T100007,10,4.5,True
T100005,10,4.5,True
T107005,10,6.0,True
T100000,10,4.75,True
T100001,10,4.5,True
T100004,10,4.75,True
T100006,10,4.5,True
T107009,10,5.0,True
T100003,10,5.0,True
T105001,10,4.75,True
T108000,10,5.0,True
T106001,10,4.75,True
T106006,10,4.75,True
T200002,10,5.25,True
T200000,10,5.25,True
T200001,10,4.25,True
T207041,10,5.75,True
T207033,10,4.0,True
T207040,10,5.0,True
T200003,10,4.5,True
T207000,10,4.5,True
T207012,10,5.5,True
T207035,10,5.5,True
T207038,10,4.25,True
T207002,10,5.25,True
T206060,10,4.25,True
T207004,10,4.25,True
T207034,10,5.0,True
J2D035,10,5.0,True
T207059,10,5.25,True
T208003,10,4.75,True
T205004,10,5.0,True
T208000,10,4.75,True
T100007,11,4.5,True
T100005,11,5.0,True
T107005,11,4.75,True
T100000,11,5.25,True
T100001,11,5.5,True
T100004,11,4.5,True
T100006,11,4.75,True
T107009,11,4.0,True
T100003,11,4.5,True
T108002,11,5.0,True
T105001,11,5.0,True
T106001,11,5.75,True
T106006,11,5.0,True
T200002,11,5.25,True
T200000,11,4.0,True
T200001,11,4.5,True
T207041,11,5.0,True
T207033,11,5.5,True
T207040,11,5.0,True
T200003,11,4.75,True
T207000,11,5.0,True
T207038,11,5.25,True
T207037,11,4.25,True
T207035,11,5.25,True
T207002,11,5.25,True
T206060,11,4.0,True
T207036,11,5.25,True
T207034,11,4.25,True
J2P015,11,5.0,True
J2D035,11,4.75,True
12E050SCIENCES,11,5.5,True
12E051SCIENCES,11,4.25,True
T208011,11,5.25,True
S102013,11,5.25,True
T206056,11,5.0,True
T100007,12,5.5,True
T100005,12,5.0,True
T107005,12,5.0,True
T100000,12,5.0,True
T100001,12,5.25,True
T100004,12,5.0,True
T100006,12,5.25,True
T107009,12,5.25,True
T100003,12,5.0,True
T106001,12,5.5,True
T108000,12,5.25,True
T108002,12,4.75,True
T106006,12,5.25,True
T200002,12,5.25,True
T200000,12,5.0,True
T200001,12,4.25,True
T207041,12,4.75,True
T207033,12,5.0,True
T207040,12,4.5,True
T200003,12,5.0,True
T207000,12,4.75,True
T207038,12,5.5,True
T207035,12,5.25,True
T207037,12,5.0,True
T207002,12,4.75,True
T206060,12,5.0,True
T207004,12,5.5,True
T207036,12,4.75,True
J2D035,12,4.75,True
J2P015,12,5.25,True
12E050SCIENCES,12,4.5,True
12E051SCIENCES,12,5.0,True
T206058,12,5.5,True
T205004,12,5.5,True
T208011,12,5.25,True
T100007,13,5.0,True
T100005,13,4.5,True
T107005,13,4.25,True
T100000,13,6.0,True
T100001,13,4.75,True
T100004,13,5.25,True
T100006,13,5.25,True
T107009,13,5.25,True
T100003,13,4.75,True
T106001,13,4.5,True
T105001,13,4.75,True
T108002,13,6.0,True
T106006,13,4.75,True
T200002,13,4.75,True
T200000,13,5.25,True
T200001,13,5.0,True
T207041,13,5.5,True
T207033,13,5.0,True
T207040,13,5.25,True
T200003,13,4.75,True
T207000,13,5.5,True
T207035,13,4.5,True
T207037,13,5.25,True
T207012,13,5.0,True
T206060,13,4.75,True
T207004,13,4.75,True
T207034,13,5.25,True
T207059,13,5.0,True
J2D035,13,5.25,True
T206054,13,5.5,True
T208012,13,5.25,True
T206024,13,5.0,True
T206001,13,4.5,True
S102013,13,5.75,True
T100007,14,5.5,True
T100005,14,4.5,True
T107005,14,4.75,True
T100000,14,4.75,True
T100001,14,4.25,True
T100004,14,4.75,True
T100006,14,4.75,True
T107009,14,4.25,True
T100003,14,5.0,True
T108000,14,5.75,True
T108002,14,5.0,True
T106001,14,4.75,True
T106006,14,5.0,True
T200002,14,5.0,True
T200000,14,4.75,True
T200001,14,5.25,True
T207041,14,5.0,True
T207033,14,5.75,True
T207040,14,5.0,True
T200003,14,5.0,True
T207000,14,5.75,True
T207038,14,5.75,True
T207012,14,5.0,True
T207035,14,4.0,True
T207002,14,5.0,True
T206060,14,5.25,True
T207004,14,5.25,True
T207036,14,4.25,True
T207034,14,5.25,True
J2P201,14,5.75,True
T208012,14,4.25,True
T206006,14,5.25,True
T205027,14,5.5,True
T100007,15,4.5,False
T100005,15,5.0,False
T107005,15,5.0,False
T100000,15,5.0,False
T100001,15,4.25,False
T100004,15,4.5,False
T100006,15,5.25,False
T107009,15,5.0,False
T100003,15,5.5,False
T105001,15,5.0,False
T108000,15,6.0,False
T108002,15,4.0,False
T108003,15,5.25,False
T200002,15,5.25,False
T200000,15,4.25,False
T200001,15,5.25,False
T207041,15,5.75,False
T207033,15,5.0,False
T207040,15,5.0,False
T200003,15,5.0,False
T207000,15,5.5,False
T207038,15,5.0,False
T207035,15,5.5,False
T207037,15,4.75,False
T207002,15,5.25,False
T207004,15,4.0,False
T207036,15,5.0,False
T207059,15,5.5,False
J2P015,15,5.0,False
T208003,15,5.25,False
T206006,15,5.5,False
T206058,15,6.0,False
T100007,16,4.75,True
T100005,16,4.5,True
T107005,16,5.0,True
T100000,16,5.0,True
T100001,16,4.5,True
T100004,16,5.25,True
T100006,16,4.75,True
T107009,16,6.0,True
T100003,16,5.25,True
T108000,16,4.5,True
T106001,16,4.75,True
T105001,16,5.25,True
T106006,16,5.0,True
T200002,16,5.0,True
T200000,16,5.5,True
T200001,16,5.75,True
T207041,16,4.75,True
T207033,16,4.75,True
T207040,16,5.25,True
T200003,16,4.5,True
T207000,16,5.0,True
T207037,16,5.25,True
T207038,16,4.75,True
T207012,16,5.5,True
T207002,16,6.0,True
T206060,16,4.75,True
T207034,16,5.25,True
T207004,16,5.5,True
J2D035,16,4.75,True
J2P015,16,4.25,True
5869,16,5.25,True
5870,16,5.5,True
S102013,16,5.0,True
T205027,16,4.25,True
T206057,16,4.75,True
T100007,17,5.25,False
T100005,17,4.75,False
T107005,17,4.75,False
T100000,17,5.0,False
T100001,17,4.75,False
T100004,17,5.75,False
T100006,17,4.75,False
T107009,17,5.75,False
T100003,17,5.0,False
